Row 1: Num | ID | Work Item Type | Title | Test Step | Step Action | Step Expected | Area Path
Row 81: 4 | 8906997 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][Accounts]: Rename admin account |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 82:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 83:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 84:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 85:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 86:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 87:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 88:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 89:  |  |  |  | 4 | selected "Local Device Security Options" -  "Accounts"  <NL> Set "Rename admin account" settings to "west1" and "Next" <NL>  |  <NL>  | 
Row 90:  |  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 91:  |  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 92:  |  |  |  | 5.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 93:  |  |  |  | 5.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 94:  |  |  |  | 5.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 95:  |  |  |  | 6 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 96:  |  |  |  | 6.1 | Open the "Settings" App |  <NL>  | 
Row 97:  |  |  |  | 6.2 | Click "Accounts" |  <NL>  | 
Row 98:  |  |  |  | 6.3 | Click "Access work or School" |  <NL>  | 
